"SensingID";"DeviceID";"PlotID";"SoilMoisture";"Humidity";"SoilTemperature";"AirTemperature";"Light";"TimeStamp"
"4848";"50586124812289";"1";"0.275984";"32.8";"24.3";"17.27";"3360";"2019-12-04 09:27:27"
"4863";"50586124812289";"1";"7.69196";"31.4";"26.1";"18.85";"3421";"2019-12-04 09:35:21"
"4864";"50586124812289";"1";"5.76466";"30.3";"26.2";"21.25";"3400";"2019-12-04 09:35:41"
"4904";"50586124812289";"1";"42.9711";"25.7";"27.1";"26.7";"4232";"2019-12-04 09:49:21"
"4905";"50586124812289";"1";"35.485";"25.9";"27.2";"26.94";"4580";"2019-12-04 09:49:40"
"4908";"50586124812289";"1";"43.8572";"24.4";"27.3";"27.41";"5690";"2019-12-04 09:50:41"
"4909";"50586124812289";"1";"45.556";"24.4";"27.4";"27.88";"6265";"2019-12-04 09:51:01"
"4910";"50586124812289";"1";"49.5849";"24.4";"27.5";"29.3";"1925";"2019-12-04 09:51:21"
"4911";"50586124812289";"1";"64.0136";"24.5";"27.6";"30.53";"1867";"2019-12-04 09:51:40"
"4912";"50586124812289";"1";"61.0669";"24.5";"27.7";"30.96";"1961";"2019-12-04 09:52:00"
"4913";"50586124812289";"1";"54.1227";"24.4";"27.5";"31.59";"7977";"2019-12-04 09:52:21"
"4914";"50586124812289";"1";"50.1654";"24.5";"27.6";"31.85";"7059";"2019-12-04 09:52:41"
"4915";"50586124812289";"1";"45.8613";"24.4";"25.2";"32";"6675";"2019-12-04 09:53:01"
"4916";"50586124812289";"1";"43.9504";"24.4";"27.9";"31.52";"6740";"2019-12-04 09:53:21"
"4917";"50586124812289";"1";"42.2883";"24.4";"28.6";"31.79";"6615";"2019-12-04 09:53:40"
"4918";"50586124812289";"1";"33.7193";"24.5";"27.4";"31.59";"6640";"2019-12-04 09:54:00"
"4919";"50586124812289";"1";"31.0204";"24.4";"27.3";"31.23";"6419";"2019-12-04 09:54:21"
"4920";"50586124812289";"1";"29.3453";"24.4";"27.3";"31.59";"6123";"2019-12-04 09:54:41"
"4921";"50586124812289";"1";"27.5725";"24.4";"27";"31.6";"5589";"2019-12-04 09:55:01"
"4922";"50586124812289";"1";"26.9649";"24.4";"27.8";"31.77";"4782";"2019-12-04 09:55:21"
"4923";"50586124812289";"1";"27.8073";"24.5";"27.3";"31.36";"4166";"2019-12-04 09:55:40"
"4924";"50586124812289";"1";"28.5222";"24.5";"25.4";"31.12";"3580";"2019-12-04 09:56:00"
"4925";"50586124812289";"1";"26.9849";"24.4";"27.7";"31.09";"3813";"2019-12-04 09:56:21"
"4926";"50586124812289";"1";"25.2396";"24.4";"27.4";"31.22";"2755";"2019-12-04 09:56:41"
"4927";"50586124812289";"1";"25.1166";"24.5";"26.8";"31.13";"3505";"2019-12-04 09:57:01"
"4928";"50586124812289";"1";"25.928";"25";"26.9";"30.56";"2715";"2019-12-04 09:57:21"
"4929";"50586124812289";"1";"25.9366";"24.5";"27";"30.75";"2710";"2019-12-04 09:57:40"
"4930";"50586124812289";"1";"24.72";"24.4";"27.5";"31.71";"2700";"2019-12-04 09:58:00"
"4931";"50586124812289";"1";"24.2645";"24.5";"27.2";"32.12";"2713";"2019-12-04 09:58:21"
"4932";"50586124812289";"1";"25.2509";"24.4";"27";"29.91";"2740";"2019-12-04 09:58:41"
"4933";"50586124812289";"1";"60.3848";"23.9";"26.5";"27.83";"2593";"2019-12-04 09:59:01"
"4934";"50586124812289";"1";"64.1343";"23.9";"26.4";"26.18";"2910";"2019-12-04 09:59:21"
"4935";"50586124812289";"1";"66.5958";"24.4";"27.9";"24.9";"4579";"2019-12-04 09:59:41"
"4936";"50586124812289";"1";"68.2066";"24";"27";"24";"7065";"2019-12-04 10:00:00"
"4937";"50586124812289";"1";"69.0183";"23.9";"27";"23.26";"8984";"2019-12-04 10:00:21"
"4938";"50586124812289";"1";"69.0864";"23.9";"28.2";"22.66";"9505";"2019-12-04 10:00:41"
"4939";"50586124812289";"1";"68.6307";"23.9";"26.9";"22.19";"8858";"2019-12-04 10:01:01"
"4940";"50586124812289";"1";"67.7331";"23.5";"27.1";"21.81";"7314";"2019-12-04 10:01:21"
"4941";"50586124812289";"1";"66.534";"23.4";"26.8";"21.48";"5834";"2019-12-04 10:01:41"
"4942";"50586124812289";"1";"65.1608";"23.5";"26.8";"21.24";"4965";"2019-12-04 10:02:00"
"4943";"50586124812289";"1";"63.3141";"23.9";"26.7";"21";"2813";"2019-12-04 10:02:20"
"4944";"50586124812289";"1";"61.364";"24.5";"26.5";"20.81";"2790";"2019-12-04 10:02:41"
"4945";"50586124812289";"1";"59.3338";"24.7";"26.5";"20.63";"2756";"2019-12-04 10:03:01"
"4946";"50586124812289";"1";"57.1663";"23.9";"26.5";"20.46";"2763";"2019-12-04 10:03:21"
"4947";"50586124812289";"1";"54.8797";"23.9";"26.4";"20.33";"2752";"2019-12-04 10:03:41"
"4948";"50586124812289";"1";"52.5383";"25.5";"26.5";"20.22";"2778";"2019-12-04 10:04:01"
"4949";"50586124812289";"1";"50.1324";"25.1";"27.9";"20.12";"2832";"2019-12-04 10:04:20"
"4950";"50586124812289";"1";"47.571";"24.9";"26.5";"20.02";"3179";"2019-12-04 10:04:41"
"4951";"50586124812289";"1";"44.9122";"25.1";"26.5";"19.96";"5192";"2019-12-04 10:05:01"
"4952";"50586124812289";"1";"42.2166";"24";"26.6";"19.87";"9343";"2019-12-04 10:05:21"
"4953";"50586124812289";"1";"39.5544";"23.9";"26.5";"19.84";"14010";"2019-12-04 10:05:41"
"4954";"50586124812289";"1";"36.8549";"23.3";"26.4";"19.77";"18112";"2019-12-04 10:06:01"
"4955";"50586124812289";"1";"34.1907";"25.3";"26.5";"19.74";"22569";"2019-12-04 10:06:26"
"4956";"50586124812289";"1";"31.7388";"25.7";"26.5";"19.71";"24238";"2019-12-04 10:06:40"
"4957";"50586124812289";"1";"29.2563";"24.8";"26.4";"19.68";"26850";"2019-12-04 10:07:01"
"4958";"50586124812289";"1";"26.8534";"25.3";"26.4";"19.66";"25352";"2019-12-04 10:07:21"
"4959";"50586124812289";"1";"24.5682";"25.1";"26.4";"19.63";"24163";"2019-12-04 10:07:41"
"4960";"50586124812289";"1";"22.4066";"25.6";"26.4";"19.62";"23925";"2019-12-04 10:08:01"
"4961";"50586124812289";"1";"20.2979";"25.5";"26.4";"19.6";"25253";"2019-12-04 10:08:21"
"4962";"50586124812289";"1";"18.3913";"25.6";"26.3";"19.6";"26623";"2019-12-04 10:08:40"
"4963";"50586124812289";"1";"16.4681";"25.6";"26.3";"19.55";"28602";"2019-12-04 10:09:00"
"4964";"50586124812289";"1";"14.682";"25.8";"25.8";"19.55";"31363";"2019-12-04 10:09:21"
"4965";"50586124812289";"1";"12.9192";"26";"25.8";"19.55";"31598";"2019-12-04 10:09:41"
"4966";"50586124812289";"1";"11.2207";"26.2";"26.3";"19.54";"29689";"2019-12-04 10:10:01"
"4967";"50586124812289";"1";"9.5483";"26.6";"26.4";"19.53";"28700";"2019-12-04 10:10:21"
"4968";"50586124812289";"1";"7.94256";"25.5";"26.4";"19.54";"29029";"2019-12-04 10:10:41"
"4969";"50586124812289";"1";"6.48123";"25.6";"26.4";"19.53";"28295";"2019-12-04 10:11:00"
"4970";"50586124812289";"1";"5.01153";"25.5";"26.2";"19.52";"26685";"2019-12-04 10:11:21"
"4971";"50586124812289";"1";"3.53406";"25.6";"26";"19.52";"26665";"2019-12-04 10:11:41"
"4972";"50586124812289";"1";"2.12734";"25";"26.9";"19.52";"28284";"2019-12-04 10:12:01"
"4973";"50586124812289";"1";"0.712468";"25.8";"26.1";"19.5";"31336";"2019-12-04 10:12:21"
"6198";"50586124812289";"1";"39.6359";"31.2";"25.2";"18.7";"1247";"2019-12-05 12:13:18"
"6199";"50586124812289";"1";"39.6338";"31.1";"23.6";"18.69";"1246";"2019-12-05 12:13:37"
"6200";"50586124812289";"1";"39.5359";"30.6";"23.6";"18.72";"1226";"2019-12-05 12:14:18"
"6201";"50586124812289";"1";"39.5401";"30.5";"23.6";"18.72";"1216";"2019-12-05 12:14:37"
"6202";"50586124812289";"1";"39.5068";"30.4";"23.6";"18.74";"1216";"2019-12-05 12:14:58"
"6203";"50586124812289";"1";"39.4411";"30.1";"23.6";"18.75";"1200";"2019-12-05 12:15:17"
"6204";"50586124812289";"1";"39.4046";"29.6";"23.6";"18.76";"1204";"2019-12-05 12:15:37"
"6205";"50586124812289";"1";"39.4411";"29.9";"23.6";"18.76";"1210";"2019-12-05 12:15:57"
"6206";"50586124812289";"1";"39.3754";"29.8";"23.9";"18.76";"1215";"2019-12-05 12:16:17"
"6207";"50586124812289";"1";"39.3754";"29.8";"23.5";"18.76";"1205";"2019-12-05 12:16:37"
